Check,Date,Holiday,,,,,,,
TRUE,9/27,National Corned Beef Hash Day,,,,,,,
TRUE,11/9,National Scrapple Day,,,,,,,
TRUE,12/12,National Ambrosia Day,,,,,,,
TRUE,12/24,National Eggnog Day,,,,,,,
TRUE,1/2,National Cream Puff Day,,,,,,,
TRUE,1/10,National Oysters Rockefeller Day,,,,,,,
TRUE,1/12,National Marzipan Day,,,,,,,
FALSE,1/13,National Peach Melba Day,,,,,,,
TRUE,1/16,National Fig Newton Day,,,,,,,
TRUE,1/20,National Buttercrunch Day,,,,,,,
TRUE,1/26,National Peanut Brittle Day,,,,,,,
TRUE,2/12,National Plum Pudding Day,,,,,,,
TRUE,2/28,National Chocolate Souffle Day,,,,,,,
FALSE,3/13,National Coconut Torte Day,,,,,,,
TRUE,3/19,National Corn Dog Day,,,,,,,
TRUE,3/23,National Chia Day,,,,,,,
TRUE,3/25,National Lobster Newburg Day,,,,,,,
FALSE,3/26,National Nougat Day,,,,,,,
TRUE,3/28,Eat an Eskimo Pie Day,,,,,,,
TRUE,4/5,National Raisin and Spice Bar Day,,,,,,,
FALSE,4/9,National Chinese Almond Cookie Day,,,,,,,
TRUE,4/24,National Pigs in a Blanket Day,,,,,,,
FALSE,4/27,National Devil Dog Day,,,,,,,
FALSE,5/1,National Chocolate Parfait Day,,,,,,,
TRUE,5/14,Stamp Out Hunger Food Drive Day,,,,,,,
TRUE,5/16,National Coquille Saint Jacques Day,,,,,,,
FALSE,5/17,National Cherry Cobbler Day,,,,,,,
FALSE,5/18,National Cheese Souffle Day,,,,,,,
TRUE,5/19,National Devil's Food Cake Day,,,,,,,
FALSE,5/20,National Quiche Lorraine Day,,,,,,,
FALSE,5/24,National Escargot Day,,,,,,,
FALSE,5/28,National Italian Beef Day,,,,,,,
FALSE,5/31,National Macaroon Day,,,,,,,
FALSE,6/1,National Hazelnut Cake Day,,,,,,,
FALSE,6/3,National Chocolate Macaroon Day,,,,,,,
FALSE,6/5,Sausage Roll Day,,,,,,,
TRUE,6/6,National Applesauce Cake Day,,,,,,,
TRUE,6/10,National Black Cow Day,,,,,,,
FALSE,6/11,National German Chocolate Cake Day,,,,,,,
TRUE,6/12,National Peanut Butter Cookie Day,,,,,,,
FALSE,6/17,National Apple Strudel Day,,,,,,,
FALSE,6/17,National Cherry Tart Day,,,,,,,
FALSE,6/17,National Stewarts Root Beer Day,,,,,,,
FALSE,6/18,National Cherry Tart Day,,,,,,,
TRUE,6/20,National Ice Cream Soda Day,,,,,,,
FALSE,6/20,National Kouign Amann Day,,,,,,,
FALSE,6/21,National Cherry Tart Day,,,,,,,
TRUE,6/22,National Chocolate Eclair Day,,,,,,,
TRUE,6/24,National Pralines Day,,,,,,,
FALSE,6/25,National Catfish Day,,,,,,,
TRUE,6/27,National Ice Cream Cake Day,,,,,,,
TRUE,6/27,National Indian Pudding Day,,,,,,,
TRUE,6/27,National Orange Blossom Day,,,,,,,
TRUE,6/29,National Almond Buttercrunch Day,,,,,,,
TRUE,7/4,National Jackfruit Day,,,,,,,
